domain	position
NB	0.763081395349
ID	0.156976744186
ID	0.0727775218793
CC	0.117918010134
ID	0.939428834638
ID	0.928374021188
ID	0.644633809304
NB	0.300092123445
ID	0.753800092123
LRR	0.478120681713
CC	0.973284200829
LRR	0.412921348315
LRR	0.549719101124
CC	0.0702247191011
ID	0.928370786517
NB	0.252528089888
LRR	0.645224719101
LRR	0.822752808989
LRR	0.730898876404
LRR	0.574254742547
ID	0.828997289973
CC	0.2
NB	0.365311653117
ID	0.945528455285
ID	0.864769647696
ID	0.0493224932249
ID	0.0211382113821
ID	0.797674418605
NB	0.177408637874
LRR	0.425581395349
LRR	0.815700808625
ID	0.11590296496
ID	0.25539083558
NB	0.576482479784
CC	0.533692722372
ID	0.895947802198
LRR	0.491071428571
NB	0.240041208791
NB	0.282206632653
LRR	0.610650510204
LRR	0.46237244898
ID	0.942920918367
LRR	0.797193877551
LRR	0.914859693878
LRR	0.708227040816
LRR	0.565891472868
NB	0.26007751938
ID	0.821705426357
ID	0.910852713178
LRR	0.706940874036
NB	0.473864610111
LRR	0.713367609254
LRR	0.725364181662
LRR	0.74764353042
ID	0.147386461011
LRR	0.699228791774
LRR	0.90145672665
NB	0.232618343195
LRR	0.502588757396
ID	0.832100591716
LRR	0.505580357143
ID	0.826264880952
NB	0.234375
LRR	0.429743223966
LRR	0.611626248217
NB	0.232881597718
ID	0.892296718973
LRR	0.427766032417
LRR	0.610993657505
ID	0.900634249471
CC	0.53347427766
CC	0.031007751938
CC	0.0859760394644
NB	0.22903453136
LRR	0.531402439024
LRR	0.660670731707
LRR	0.446646341463
LRR	0.789329268293
LRR	0.929573170732
CC	0.208536585366
ID	0.153658536585
ID	0.103353658537
NB	0.327743902439
ID	0.124589266156
LRR	0.653340635268
LRR	0.775191675794
CC	0.0859802847755
CC	0.251369112815
ID	0.217141292442
NB	0.512322015334
LRR	0.887458926616
LRR	0.6353974122
NB	0.300369685767
ID	0.941312384473
LRR	0.666666666667
LRR	0.444711538462
ID	0.939903846154
NB	0.364983974359
ID	0.835924713584
NB	0.494271685761
ID	0.922258592471
LRR	0.695990180033
NB	0.348722986248
ID	0.87459070072
ID	0.907007203667
LRR	0.576620825147
ID	0.127643504532
LRR	0.794561933535
NB	0.512839879154
CC	0.375
LRR	0.493686868687
LRR	0.532512626263
NB	0.306818181818
LRR	0.550820707071
ID	0.958017676768
ID	0.873106060606
ID	0.761994949495
ID	0.978427612656
NB	0.298657718121
CC	0.114093959732
LRR	0.643815915628
ID	0.113376251788
LRR	0.616237482117
NB	0.371244635193
LRR	0.822246065808
LRR	0.934907010014
LRR	0.852288984263
LRR	0.699570815451
CC	0.0530785562633
ID	0.859872611465
LRR	0.603680113234
LRR	0.449752300071
NB	0.240976645435
NB	0.351521164021
ID	0.877645502646
ID	0.908068783069
LRR	0.590608465608
NB	0.252857142857
LRR	0.437142857143
LRR	0.562571428571
ID	0.0917142857143
LRR	0.681714285714
LRR	0.962285714286
LRR	0.836857142857
LRR	0.704715568862
LRR	0.560628742515
NB	0.140344311377
CC	0.635479041916
LRR	0.46744011976
LRR	0.821856287425
LRR	0.283308383234
ID	0.951721556886
ID	0.827711941659
NB	0.216499544211
CC	0.0998475609756
ID	0.894817073171
LRR	0.513338414634
CC	0.030868902439
NB	0.243521341463
ID	0.861943024105
ID	0.897370343316
LRR	0.539810080351
NB	0.282322863404
NB	0.299019607843
ID	0.825980392157
ID	0.720588235294
ID	0.637605042017
NB	0.347549331636
LRR	0.577657542966
ID	0.902291534055
ID	0.82908975175
CC	0.0368497109827
NB	0.240968208092
LRR	0.509393063584
ID	0.75686416185
ID	0.847543352601
ID	0.940028901734
CC	0.0950144508671
LRR	0.669788519637
LRR	0.819335347432
ID	0.930211480363
NB	0.509063444109
LRR	0.349848942598
NB	0.57322761194
LRR	0.854944029851
ID	0.0601679104478
ID	0.147435897436
LRR	0.673076923077
LRR	0.90811965812
LRR	0.706837606838
LRR	0.755128205128
LRR	0.72094017094
LRR	0.732905982906
NB	0.482051282051
LRR	0.714102564103
ID	0.179749715586
NB	0.503981797497
LRR	0.879977246871
NB	0.265746638358
LRR	0.530077848549
ID	0.839348903043
ID	0.9609375
NB	0.305098684211
LRR	0.610197368421
ID	0.0954198473282
LRR	0.531922276197
LRR	0.68320610687
NB	0.294587092297
LRR	0.800138792505
LRR	0.93199167245
